stream,topic,sender-id,timestamp,keyword-?,message-word-count,afinn-sentiment,trust,surprise,joy,positive,negative,anticipation,anger,sadness,fear
data-science,hello,100007,1542211640,false,3,2,0,0,0,0,0,0,0,0,0
data-science,local data science courses,138175,1542212014,false,65,7,17,0,0,0,0,0,0,0,0
data-science,local data science courses,138262,1542270836,true,31,4,7,0,0,0,0,0,0,0,0
data-science,local data science courses,138175,1542363997,false,58,7,8,0,0,0,0,0,0,0,0
data-science,local data science courses,138262,1542373434,false,36,5,5,1,0,0,0,0,0,0,0
data-science,data science defined,138558,1542656826,false,16,1,4,0,0,0,0,0,0,0,0
data-science,data science defined,137843,1542657303,true,66,0,19,0,0,0,0,0,0,0,0
data-science,Graphs (networks),138262,1543175137,true,42,4,6,1,0,0,0,0,0,0,0
data-science,Spark,138262,1545215420,true,25,4,3,0,0,0,0,0,0,0,0
data-science,basic machine learning notes,138175,1545927574,true,31,7,6,1,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,138175,1547676990,false,23,3,6,0,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,138020,1548081562,true,17,3,2,0,0,0,0,0,0,0,0
data-science,Spark,138020,1548081603,false,3,-1,1,0,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,138175,1548084942,false,29,3,3,0,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,137562,1548087452,false,15,2,3,0,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,138260,1548088064,false,28,2,3,0,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,137562,1548088140,false,1,0,0,0,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,137562,1548088314,false,27,3,5,0,0,0,0,0,1,0,0
data-science,Online meeting: clj ds,137562,1548088392,true,20,0,1,1,0,0,0,0,0,0,0
data-science,zulip video call test,137562,1548088603,false,5,1,3,0,0,0,0,0,0,0,0
data-science,zulip video call test,137562,1548088688,true,14,0,1,0,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,138175,1548099205,true,148,18,26,1,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,137562,1548100088,false,24,2,4,1,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,138175,1548100821,false,4,2,0,0,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,138260,1548140492,false,73,5,10,0,0,0,0,0,1,0,0
data-science,time for the online meeting,138175,1548160115,false,54,10,12,1,0,0,0,0,0,0,0
data-science,time for the online meeting,138020,1548160280,false,24,0,2,0,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,137562,1548161439,false,28,4,2,1,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,139453,1548162601,false,12,0,2,0,0,0,0,0,0,0,0
data-science,recommended reading,138175,1548164963,false,29,1,9,0,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,200490,1548178922,false,66,8,4,1,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,200497,1548180954,false,47,5,9,1,0,0,0,0,0,0,0
data-science,Online meeting: clj ds,137562,1548184330,false,4,0,0,0,0,0,0,0,0,0,0
data-science,hello,138175,1548184698,false,51,5,7,0,0,0,0,0,0,0,0
data-science,clj ds libraries,138175,1548185278,true,51,7,14,0,0,0,0,0,0,0,0
data-science,other jvm ds libraries,138175,1548185387,false,18,2,5,0,0,0,0,0,0,0,0
data-science,other jvm ds libraries,138175,1548185586,true,36,3,4,0,0,0,0,0,0,0,0
data-science,hello,200389,1548207636,false,443,20,87,1,0,0,0,0,0,0,0
data-science,some questions towards meeting,138175,1548228230,false,23,0,6,0,0,0,0,0,0,0,0
data-science,hello,138804,1548236027,false,54,6,12,1,0,0,0,0,0,0,0
